Source Row,OFFERING_ID,Duplicate Count,PARTNER,SHOW_TITLE,PROP_EP,MPM_LEVEL1_SERIES,MPM_LEVEL2_SEASON,MPM_LEVEL3_EPISODE,CONTROLLING_NETWORK,CFPS_SHOW_ID,CFPS_SEASON_ID,EPISODE_ID,EDIT_ID,PROGRAM_START_DATE,PROGRAM_END_DATE,FIRST_PROGRAM_LAUNCH_DATE,PROGRAM_ASSET_TYPE,ASSET_TITLE_IN_PLAYLIST,PLAYLIST_BRAND,OFFERING_ID,STATUS,EAST_FEED,WEST_FEED,PAVI_ID,WM_TITLES_EDIT_ID,WM_TITLES_TITLE_ID,LAST_UPDATED,MARKET_REGION,MARKET_TERRITORY
14768,31641183-35fb-4548-85ee-513fb4353542,2,Max,Taxicab Confessions: America Undercover,256192.000,,,,HBOTV,b1bcc7c6-6cf5-4ba4-8413-6e68084ed032,42cc2514-90a3-4439-b73c-aa4da8338771,504d53a9-5916-4b9f-a5a6-d193d2a80786,521209ef-4da6-4032-a3ee-d0505ab8e8a8,2026-02-05 00:00:00.000,2026-03-25 23:59:59.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: America Undercover Part 4,HBOTV,31641183-35fb-4548-85ee-513fb4353542,UPDATE,2026-02-05 00:00:00.000,2026-02-04 21:00:00.000,PROD574689,,,2026-06-29 12:45:58.160,US,US
23254,31641183-35fb-4548-85ee-513fb4353542,2,Max,Taxicab Confessions: America Undercover,256192.000,1048708,,,HBOTV,b3c5ae13-45d6-4aec-aa5d-e16fdb077080,,504d53a9-5916-4b9f-a5a6-d193d2a80786,521209ef-4da6-4032-a3ee-d0505ab8e8a8,2026-02-05 00:00:00.000,2026-03-25 23:59:59.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: America Undercover Part 4,HBOTV,31641183-35fb-4548-85ee-513fb4353542,UPDATE,2026-02-05 00:00:00.000,2026-02-04 21:00:00.000,PROD574689,,,2026-06-29 12:45:58.160,US,US
6326,385556e1-8548-46e3-a476-2f961f8402b2,2,Max,Euphoria Special Episodes,231236.000,,,,HBOTV,0afbc4f2-c245-4b69-a61e-e42fe56e9cf3,9968de68-d48e-4ef2-bc6d-fd717e646957,5ac5785b-c0c6-4176-84c7-941e2e496509,e3f47cb3-952f-4be7-a96b-4eb539bf4966,2025-10-25 23:00:00.000,2026-02-28 23:59:59.000,2025-10-25 23:00:00.000,episode,Euphoria: Trouble Don't Last Always,HBOTV,385556e1-8548-46e3-a476-2f961f8402b2,UPDATE,2025-10-25 23:00:00.000,2025-10-25 20:00:00.000,PROD820911,2442196,,2026-06-26 15:02:19.757,US,US
12461,385556e1-8548-46e3-a476-2f961f8402b2,2,Max,Euphoria,231236.000,,,,HBOTV,ef29f91d-511c-4646-abe6-532e98c5cd89,,5ac5785b-c0c6-4176-84c7-941e2e496509,e3f47cb3-952f-4be7-a96b-4eb539bf4966,2025-10-25 23:00:00.000,2026-02-28 23:59:59.000,2025-10-25 23:00:00.000,episode,Euphoria: Trouble Don't Last Always,HBOTV,385556e1-8548-46e3-a476-2f961f8402b2,UPDATE,2025-10-25 23:00:00.000,2025-10-25 20:00:00.000,PROD820911,2442196,,2026-06-26 15:02:19.757,US,US
12508,3c10aa83-1300-4876-9a66-66a2e7606747,2,Max,Taxicab Confessions: The City That Never Sleeps,256169.000,,,,HBOTV,ddb0dae4-a0ba-4e0d-80f3-5e77a76bcf15,,09015302-58f9-4d87-8849-ecf749594592,d2651181-e955-4c7d-a586-f891c2353183,2026-03-26 00:00:01.000,2100-12-31 23:59:00.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: The City That Never Sleeps Part 1,HBOTV,3c10aa83-1300-4876-9a66-66a2e7606747,UPDATE,2026-03-26 00:00:01.000,2026-03-25 21:00:01.000,PROD734224,,,2026-06-29 12:43:53.605,US,US
19694,3c10aa83-1300-4876-9a66-66a2e7606747,2,Max,Taxicab Confessions: The City That Never Sleeps,256169.000,,,,HBOTV,0d9796cc-6499-4965-beb8-24116ac05fb3,32a48f16-fd4a-4cad-b690-eebeb290f86d,09015302-58f9-4d87-8849-ecf749594592,d2651181-e955-4c7d-a586-f891c2353183,2026-03-26 00:00:01.000,2100-12-31 23:59:00.000,2026-02-05 00:00:00.000,episode,Taxicab Confessions: The City That Never Sleeps Part 1,HBOTV,3c10aa83-1300-4876-9a66-66a2e7606747,UPDATE,2026-03-26 00:00:01.000,2026-03-25 21:00:01.000,PROD734224,,,2026-06-29 12:43:53.605,US,US
16960,58dd98d9-bfb7-4ac0-865a-f4c504bf61f8,2,Max,Making of: The Last of Us,235931.000,,,,HBOTV,34098d9e-9bf0-41ac-ad7c-e7549dcb3914,ddf53e96-4096-45f0-b8dc-be0c629c18f8,44912fbc-5b28-4a2f-ad97-48ad827cf89b,c0163179-fd68-41f2-80b3-ce4bb6af08ff,2025-03-28 23:00:00.000,2028-02-28 04:59:00.000,2025-03-28 23:00:00.000,episode,Making of The Last of Us,HBOTV,58dd98d9-bfb7-4ac0-865a-f4c504bf61f8,UPDATE,2025-03-28 23:00:00.000,2025-03-28 20:00:00.000,PROD824848,,,2026-06-25 20:22:33.731,US,US
21708,58dd98d9-bfb7-4ac0-865a-f4c504bf61f8,2,Max,The Last of Us,235931.000,,,,HBOTV,ccd1686b-e5a4-4603-b339-cb73c40acd03,,44912fbc-5b28-4a2f-ad97-48ad827cf89b,c0163179-fd68-41f2-80b3-ce4bb6af08ff,2025-03-28 23:00:00.000,2028-02-28 04:59:00.000,2025-03-28 23:00:00.000,episode,Making of The Last of Us,HBOTV,58dd98d9-bfb7-4ac0-865a-f4c504bf61f8,UPDATE,2025-03-28 23:00:00.000,2025-03-28 20:00:00.000,PROD824848,,,2026-06-25 20:22:33.731,US,US
2673,795d97a0-13ab-4315-a901-f04dc18342ef,2,Max,Empire Falls,230906.000,,,4104973,HBOTV,9f3e238a-e0d3-4e24-96b0-bd5487ef662f,d10e4289-8b36-4360-97d1-80549794d301,692fe8ea-1d3b-4bdd-a312-8f0480fcd1e2,3db1b433-5ebf-4467-af28-e0774ab9c9c7,2023-02-12 05:00:00.000,2028-02-28 04:59:00.000,2023-02-12 05:00:00.000,episode,Empire Falls (Part 2),HBOTV,795d97a0-13ab-4315-a901-f04dc18342ef,UPDATE,2023-02-12 05:00:00.000,2023-02-12 02:00:00.000,PROD620969,,458104,2026-06-25 17:03:57.997,US,US
22856,795d97a0-13ab-4315-a901-f04dc18342ef,2,Max,Empire Falls,230906.000,,,4104973,HBOTV,39aaa2d3-4bcd-4efe-8398-f5a4baae47b3,,692fe8ea-1d3b-4bdd-a312-8f0480fcd1e2,3db1b433-5ebf-4467-af28-e0774ab9c9c7,2023-02-12 05:00:00.000,2028-02-28 04:59:00.000,2023-02-12 05:00:00.000,episode,Empire Falls (Part 2),HBOTV,795d97a0-13ab-4315-a901-f04dc18342ef,UPDATE,2023-02-12 05:00:00.000,2023-02-12 02:00:00.000,PROD620969,,458104,2026-06-25 17:03:57.997,US,US
